episode,t,factory_stock,warehouse_stock_0,warehouse_stock_1,production_level,shippings_to_warehouse_0,shippings_to_warehouse_1,timestep_reward,total_reward
1,22,5.0,3.0,6.0,10,0.0,5.0,6.0,2665.0
1,23,0.0,7.0,3.0,0,5.0,0.0,317.0,2982.0
1,24,5.0,6.0,5.0,10,0.0,5.0,-96.0,2886.0
1,25,5.0,4.0,3.0,0,0.0,0.0,336.0,3222.0
1,26,5.0,8.0,5.0,10,5.0,5.0,-119.0,3103.0
1,27,5.0,7.0,3.0,0,0.0,0.0,228.0,3331.0
1,28,0.0,6.0,5.0,0,0.0,5.0,294.0,3625.0
1,29,0.0,5.0,3.0,0,0.0,0.0,246.0,3871.0
1,30,5.0,4.0,6.0,10,0.0,5.0,-188.0,3683.0
1,31,0.0,8.0,5.0,0,5.0,0.0,113.0,3796.0
1,32,0.0,7.0,3.0,0,0.0,0.0,238.0,4034.0
1,33,5.0,6.0,6.0,10,0.0,5.0,-196.0,3838.0
1,34,5.0,5.0,3.0,0,0.0,0.0,330.0,4168.0
1,35,0.0,4.0,6.0,0,0.0,5.0,202.0,4370.0
1,36,5.0,8.0,3.0,10,5.0,0.0,-77.0,4293.0
1,37,0.0,6.0,6.0,0,0.0,5.0,290.0,4583.0
1,38,0.0,4.0,3.0,0,0.0,0.0,440.0,5023.0
